NS                  NAME                                                          TYPE                             OWNER    HELM
content-studio      content-studio-azure-file                                     Opaque                           <none>   <none>
content-studio      content-studio-postgres                                       Opaque                           <none>   <none>
content-studio      content-studio-secrets                                        Opaque                           <none>   <none>
content-studio      content-studio-tls                                            kubernetes.io/tls                <none>   <none>
gatekeeper-system   gatekeeper-webhook-server-cert                                Opaque                           <none>   <none>
hub-development     acr-auth                                                      kubernetes.io/dockerconfigjson   <none>   <none>
hub-development     azure-storage-account-fc3e7eef89d6645fbae772d-secret          Opaque                           <none>   <none>
hub-development     hub-azure-ssl-certificate                                     kubernetes.io/tls                <none>   <none>
hub-development     hub-secrets                                                   Opaque                           <none>   <none>
ingress-nginx       ingress-nginx-admission                                       Opaque                           <none>   <none>
ingress-nginx       sh.helm.release.v1.ingress-nginx.v1                           helm.sh/release.v1               <none>   helm
ingress-nginx       sh.helm.release.v1.ingress-nginx.v2                           helm.sh/release.v1               <none>   helm
ingress-nginx       sh.helm.release.v1.ingress-nginx.v3                           helm.sh/release.v1               <none>   helm
kradle-org-a5c-ai   acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
kradle-org-a5c-ai   kradle-assistant-keys                                         Opaque                           <none>   <none>
kradle-staging      acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
kradle-staging      kradle-assistant-keys                                         Opaque                           <none>   <none>
kradle-staging      kradle-gitea-agent-token                                      Opaque                           <none>   <none>
kradle-staging      kradle-gitea-tls                                              kubernetes.io/tls                <none>   <none>
kradle-staging      kradle-kradle-auth                                            Opaque                           <none>   <none>
kradle-staging      kradle-kradle-gitea-admin                                     Opaque                           <none>   <none>
kradle-staging      kradle-kradle-jitsi-jwt                                       Opaque                           <none>   <none>
kradle-staging      kradle-prosody                                                Opaque                           <none>   <none>
kradle-staging      kradle-prosody-jibri                                          Opaque                           <none>   <none>
kradle-staging      kradle-prosody-jicofo                                         Opaque                           <none>   <none>
kradle-staging      kradle-prosody-jigasi                                         Opaque                           <none>   <none>
kradle-staging      kradle-prosody-jvb                                            Opaque                           <none>   <none>
kradle-staging      kradle-prosody-transcriber                                    Opaque                           <none>   <none>
kradle-staging      kradle-tls                                                    kubernetes.io/tls                <none>   <none>
kradle-staging      krate-tls                                                     kubernetes.io/tls                <none>   <none>
kradle-staging      sh.helm.release.v1.kradle.v1                                  helm.sh/release.v1               <none>   helm
kradle              acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
kradle              kradle-assistant-keys                                         Opaque                           <none>   <none>
kradle              kradle-gitea-tls                                              kubernetes.io/tls                <none>   <none>
kradle              kradle-kradle-auth                                            Opaque                           <none>   <none>
kradle              kradle-kradle-gitea-admin                                     Opaque                           <none>   <none>
kradle              kradle-kradle-jitsi-jwt                                       Opaque                           <none>   <none>
kradle              kradle-prosody                                                Opaque                           <none>   <none>
kradle              kradle-prosody-jibri                                          Opaque                           <none>   <none>
kradle              kradle-prosody-jicofo                                         Opaque                           <none>   <none>
kradle              kradle-prosody-jigasi                                         Opaque                           <none>   <none>
kradle              kradle-prosody-jvb                                            Opaque                           <none>   <none>
kradle              kradle-prosody-transcriber                                    Opaque                           <none>   <none>
kradle              kradle-tls                                                    kubernetes.io/tls                <none>   <none>
kradle              sh.helm.release.v1.kradle.v1                                  helm.sh/release.v1               <none>   helm
kube-system         ama-logs-secret                                               Opaque                           <none>   <none>
kube-system         azure-policy-webhook-cert                                     Opaque                           <none>   <none>
kube-system         bootstrap-token-5hpqs2                                        bootstrap.kubernetes.io/token    <none>   <none>
kube-system         konnectivity-certs                                            Opaque                           <none>   <none>
kube-system         sh.helm.release.v1.aks-managed-azure-monitor-logs.v274300     helm.sh/release.v1               <none>   helm
kube-system         sh.helm.release.v1.aks-managed-azure-monitor-logs.v274301     helm.sh/release.v1               <none>   helm
kube-system         sh.helm.release.v1.aks-managed-overlay-upgrade-data.v332286   helm.sh/release.v1               <none>   helm
